,date,symbol,open,high,low,close,Volume USD,Volume BTC
0,2015-02-09 00:00:00,BTC/USD,224.22,225.0,215.4,220.61,6493501.42,29625.03
1,2015-02-10 00:00:00,BTC/USD,220.61,223.88,214.0,220.96,6402350.57,29268.95
2,2015-02-11 00:00:00,BTC/USD,220.96,224.4,218.1,219.19,4268986.79,19289.28
3,2015-02-12 00:00:00,BTC/USD,219.19,223.2,217.87,222.6,2468883.37,11190.65
4,2015-02-13 00:00:00,BTC/USD,222.39,241.76,221.46,236.0,6806972.89,29079.11
5,2015-02-14 00:00:00,BTC/USD,236.13,261.3,235.51,258.12,10739014.48,42984.94
6,2015-02-15 00:00:00,BTC/USD,257.0,266.84,228.2,234.14,17384420.7,71361.28
7,2015-02-16 00:00:00,BTC/USD,234.14,243.65,228.62,236.78,10798751.12,45750.85
8,2015-02-17 00:00:00,BTC/USD,236.78,246.28,231.5,242.87,10228035.45,42669.08
9,2015-02-18 00:00:00,BTC/USD,242.87,244.99,231.01,234.8,9164141.83,38588.38
10,2015-02-19 00:00:00,BTC/USD,234.8,243.42,234.62,241.9,5446200.04,22792.55
11,2015-02-20 00:00:00,BTC/USD,241.9,248.98,238.95,245.53,8136342.67,33337.97
12,2015-02-21 00:00:00,BTC/USD,245.53,247.73,243.28,245.1,4052466.26,16514.04
13,2015-02-22 00:00:00,BTC/USD,245.1,247.78,232.1,236.59,7971863.56,33394.5
14,2015-02-23 00:00:00,BTC/USD,236.59,241.0,232.61,239.73,5666261.84,23893.09
15,2015-02-24 00:00:00,BTC/USD,239.73,240.99,236.7,239.68,4013461.44,16784.31
16,2015-02-25 00:00:00,BTC/USD,239.68,240.83,235.53,238.0,3230232.16,13574.5
17,2015-02-26 00:00:00,BTC/USD,238.0,238.34,233.62,237.0,4418655.89,18691.43
18,2015-02-27 00:00:00,BTC/USD,237.0,262.8,236.64,256.4,17536633.13,69269.58
19,2015-02-28 00:00:00,BTC/USD,255.05,257.33,251.25,255.77,2721373.29,10695.34
20,2015-03-01 00:00:00,BTC/USD,255.7,265.0,245.65,261.15,6156716.71,24361.06
21,2015-03-02 00:00:00,BTC/USD,262.47,276.0,259.6,275.99,9448438.14,35351.14
22,2015-03-03 00:00:00,BTC/USD,277.3,294.0,267.04,283.2,21157890.72,75940.04
23,2015-03-04 00:00:00,BTC/USD,283.2,285.99,267.0,273.74,19833718.19,71328.67
24,2015-03-05 00:00:00,BTC/USD,273.74,284.99,262.0,278.51,18281541.95,67235.69
25,2015-03-06 00:00:00,BTC/USD,278.51,279.75,268.8,273.89,11083898.02,40490.63
26,2015-03-07 00:00:00,BTC/USD,273.89,280.76,270.55,275.95,6096102.1,22095.92
27,2015-03-08 00:00:00,BTC/USD,275.95,278.68,271.61,275.23,4059996.89,14729.83
28,2015-03-09 00:00:00,BTC/USD,275.23,295.0,275.01,291.2,17935918.08,62709.27
29,2015-03-10 00:00:00,BTC/USD,291.2,303.96,289.03,292.62,19689801.8,66533.18
30,2015-03-11 00:00:00,BTC/USD,292.62,298.75,290.8,296.33,7898592.99,26799.48
31,2015-03-12 00:00:00,BTC/USD,296.33,298.8,291.04,295.65,8044592.43,27237.56
32,2015-03-13 00:00:00,BTC/USD,295.65,295.91,285.0,287.9,12368444.8,42613.88
33,2015-03-14 00:00:00,BTC/USD,287.9,287.91,281.36,283.0,7697730.93,27077.04
34,2015-03-15 00:00:00,BTC/USD,283.0,287.8,281.59,286.12,3846739.5,13491.22
35,2015-03-16 00:00:00,BTC/USD,286.12,295.2,286.12,291.1,6538607.02,22427.27
36,2015-03-17 00:00:00,BTC/USD,291.1,292.9,281.56,285.0,6363650.41,22077.69
37,2015-03-18 00:00:00,BTC/USD,285.0,285.5,248.0,257.49,23520537.51,87951.0
